"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"103",308,"Slig. Cons","Bush",0,1,0,62,3,23,6,1,"Standard"
"104",310,"Cons","Bush",1,1,0,47,7,23,6,0.6666667,"Standard"
"105",313,"Moderate","Kerry",0,1,0,71,3,14,1,0,"Standard"
"106",322,"Liberal","Kerry",-0.5,1,1,28,6,11,0,0,"Standard"
"107",325,"Ext Cons.","Bush",0.5,1,0,27,4,13,6,1,"Standard"
"108",331,"Ext Cons.","Bush",0,1,0,45,3,23,6,1,"Standard"
"109",334,"Moderate","Kerry",-1,0,1,38,5,12,1,0,"Standard"
"110",341,"Cons","Bush",0,1,0,46,4,20,5,0.6666667,"Standard"
"111",343,"Cons","Bush",-1,1,1,51,3,6,6,1,"Standard"
"112",344,"Moderate","Kerry",-1,0,0,39,4,18,2,0,"Standard"
"113",351,"Liberal","Kerry",-0.5,1,1,62,6,18,0,0,"Standard"
"114",354,"Liberal","Kerry",0.5,1,0,76,7,23,0,0,"Standard"
"115",355,"Cons","Bush",0.5,1,1,31,4,20,6,1,"Standard"
"116",357,"Moderate","Kerry",-0.5,1,1,78,2,16,3,0,"Standard"
"117",359,"Moderate","Kerry",-0.5,1,0,28,4,15,1,0.6666667,"Standard"
"118",362,"Slig. Cons","Bush",0,1,1,56,5,13,4,0.6666667,"Standard"
"119",366,"Moderate","Kerry",-0.5,1,0,79,4,12,4,0,"Standard"
"120",367,"Moderate","Bush",0.5,1,0,83,1,2,4,1,"Standard"
"121",368,"Cons","Bush",0.5,1,1,63,7,16,5,0.33333334,"Standard"
"122",370,"Slig. Cons","Bush",0.5,1,0,44,3,21,6,1,"Standard"
"123",376,"Moderate","Kerry",-0.5,0,1,62,5,19,0,0,"Standard"
"124",380,"Liberal","Kerry",0,1,1,27,4,18,0,0,"Standard"
"125",381,"Slig. Cons","Bush",0.5,1,0,27,4,14,5,1,"Standard"
"126",384,"Cons","Kerry",-1,0,1,88,3,2,0,0,"Standard"
"127",389,"Slig. Cons","Kerry",-0.5,0,1,58,5,17,2,0,"Standard"
"128",392,"Ext Cons.","Kerry",-1,0,1,50,5,8,1,0,"Standard"
"129",396,"Moderate","Kerry",-1,1,1,41,3,19,3,0,"Standard"
"130",397,"Cons","Bush",0,1,1,33,6,18,6,1,"Standard"
"131",402,"Moderate","Kerry",0,1,1,55,7,13,2,0,"Standard"
"132",406,"Moderate","Kerry",-0.5,1,0,48,6,14,2,0,"Standard"
"133",407,"Moderate","Kerry",-0.5,0,1,25,2,9,2,0.33333334,"Standard"
"134",411,"Ext Liberal","Kerry",-1,0,0,77,1,11,1,0,"Standard"
"135",422,"Slig. Liberal","Kerry",0,1,1,65,3,13,0,0,"Standard"
"136",424,"Moderate","Bush",-0.5,1,1,63,3,14,6,1,"Standard"
"137",426,"Liberal","Kerry",-0.5,1,0,52,6,17,0,0,"Standard"
"138",428,"Moderate","Kerry",-1,0,1,31,7,15,1,0,"Standard"
"139",430,"Slig. Liberal","Kerry",-1,1,1,51,4,15,0,0,"Standard"
"140",433,"Moderate","Kerry",-1,0,1,29,5,1,0,0,"Standard"
"141",434,"Moderate","Bush",0.5,1,0,25,4,14,4,1,"Standard"
"142",437,"Slig. Cons","Kerry",-0.5,1,0,46,6,17,5,0,"Standard"
"143",438,"Moderate","Kerry",-1,1,1,64,3,13,0,0,"Standard"
"144",439,"Liberal","Kerry",0,1,1,28,6,20,0,0,"Standard"
"145",443,"Cons","Bush",0,1,0,39,3,18,5,0.33333334,"Standard"
"146",444,"Cons","Bush",0,1,0,68,6,23,5,0.6666667,"Standard"
"147",445,"Moderate","Kerry",-0.5,1,0,76,4,14,0,0,"Standard"
"148",452,"Moderate","Bush",0.5,1,0,64,2,13,5,1,"Standard"
"149",457,"Cons","Bush",0,1,1,62,7,22,4,1,"Standard"
"150",458,"Slig. Cons","Kerry",-1,1,0,32,6,19,4,0,"Standard"
"151",459,"Moderate","Bush",1,1,0,56,3,19,1,0,"Standard"
"152",462,"Ext Liberal","Kerry",-0.5,1,1,24,6,5,2,0,"Standard"
"153",467,"Moderate","Bush",0.5,1,0,36,3,18,4,0.6666667,"Standard"
"154",471,"Cons","Bush",1,1,0,67,5,18,6,1,"Standard"
